feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,label,src_ip,dst_ip
0.177701,-1.3353443,0.38019785,0.61058575,0.55979043,1.0807807,0.83392215,0.4591801,-0.07016571,-1.6609609,0.4296182,0.20768769,0.27157885,-1.2767485,-1.0810566,1.0531528,-0.039555155,0.6815007,0.028318375,0.02975614,0.9382838,-0.51604474,0.096120775,-0.4622753,-0.43449622,-0.30917212,0.22213377,-0.47874862,1.2557561,-0.8946073,-0.18687165,-0.43973106,1.4469779,0.19655478,1.0318445,-1.4855604,0.26705027,0.8896308,0.08228399,1.0654804,-0.51728845,1.4093474,2.2988982,-0.36283857,-0.44550252,1.4533845,1.5795722,-0.52286005,-0.42018682,-0.2817846,-1.3444505,-0.91865194,-1.0041407,-0.7677976,-0.03468489,0.23421474,1.5505005,-0.998354,0.98432237,-0.21398884,-0.049463708,0.67481947,-1.122722,0.38240975,0.16645221,0.49245125,0.28916866,2.4553,-0.63773996,-0.530997,-0.6231405,-0.55547714,-0.63738716,1.1890166,1.4205042,-0.5707463,-0.83235556,0.47141555,-0.552223,0.6329318,0.20292301,-1.5157441,1.5475053,Benign,192.168.6.124,10.0.3.166
3.4558136,0.29863992,0.2718122,2.1867616,1.0525529,1.7056088,3.0079231,0.49707317,-0.14707689,-0.45574266,0.32140157,1.9202446,3.0991035,1.3460284,0.9165126,0.8413224,1.9326227,3.5895474,1.3453858,0.4515864,2.4375234,2.5552168,3.1006825,1.8754781,0.96947366,1.5111051,2.236281,2.5916514,1.606884,2.1950028,1.8433052,2.577467,1.2734714,0.7337398,2.1159136,3.0639188,0.6150324,1.9378995,0.46306422,0.7447739,2.6049228,2.038137,1.7949499,0.023877108,2.7233005,1.5175016,3.813509,0.61772096,2.1808214,1.1462684,2.6257927,1.1193045,1.2615542,1.5212146,1.3923017,1.27823,1.85466,2.2401233,-0.0570747,0.8300971,1.1044154,3.0238807,-0.9230777,1.0640551,2.203046,3.1701138,0.94369215,0.58822364,2.832037,-0.13393897,-0.36396417,1.947087,0.6854213,0.7692667,1.2097037,1.1555556,0.5897992,0.10844982,2.865852,2.1095026,0.97313565,3.4339478,0.9061431,WebAttack-XSS,192.168.9.46,10.0.3.3
-0.10863933,0.3356138,1.4776536,1.4394994,1.062412,2.2850966,-0.09664169,2.4143572,1.3699567,2.4698138,1.4387276,1.4108748,1.8575543,1.1928972,1.5445112,3.1051328,2.060211,1.7989569,1.6614991,2.0949066,0.14801829,3.195847,1.4767003,-0.5531279,2.0377052,0.75413567,2.722841,0.0061656483,0.92886835,-0.87684625,1.3475871,-1.9038161,0.06678059,1.5065154,2.620851,1.6189773,-0.20871766,1.6790943,1.2511293,-0.56606764,2.0524876,1.757772,1.3494823,1.1782719,1.4978307,-1.3375262,1.3332151,0.3599039,0.00065086293,1.0916913,3.4459147,1.1770699,0.0023012788,1.2166233,3.1684904,2.7076929,1.5172342,-0.0781195,2.324624,2.195045,2.7682219,2.338864,2.2223303,0.65290344,2.5630314,1.4083871,3.346637,-0.066911444,3.457912,0.7022574,-0.10480647,0.055875152,1.5298984,2.4173224,1.468674,0.11457103,0.5040458,3.9950209,2.7640753,1.6747416,1.1008542,1.9806662,2.3623066,DDoS-ICMP_Flood,192.168.3.151,10.0.4.135
-1.0227926,-0.25737655,-1.6685841,0.39922312,0.64719594,-0.48318645,1.5739868,-1.2257657,-1.4643749,0.22445183,1.0470983,1.6839277,-0.45888427,1.0786809,-0.03850847,-0.1726273,0.88365996,0.6523229,-1.5763922,1.4765403,1.3800913,-0.6255627,0.39580354,0.49403018,0.26067376,-0.5503051,-0.67162335,-0.02555407,1.172729,0.54360014,-0.37061432,0.7716987,-2.8485427,1.1487657,-1.7397138,-0.36244094,-1.1196699,-1.2946814,1.1608268,-0.4677012,0.34650388,-0.04692058,0.47704083,0.07682189,-1.2829922,0.99626684,-0.4937566,-1.5565819,-0.42811516,1.5007598,0.85022175,-0.34865212,-0.3492577,-0.32163504,2.076748,0.38193545,0.43004164,1.0302835,0.23878916,-0.25904214,-0.19634984,-0.07160126,-0.037222236,0.72762954,0.051945888,0.7326401,-0.08071658,0.07863519,-1.9982007,0.91632766,0.34648848,0.9980101,-2.8962555,2.0883746,-0.13958962,1.1081828,-1.0399059,0.6127739,-1.0534155,-0.623769,1.9140314,-0.1906824,0.21743287,Benign,192.168.3.15,10.0.0.71
0.8700677,0.49568188,0.1504189,0.364961,2.4034157,-0.057618797,0.20109905,1.0506544,1.105526,1.1870303,0.6387302,-1.1430049,1.6334316,-1.1463454,0.30263546,-0.75427586,-0.064138345,0.3287624,0.32135722,0.42192075,1.6137112,0.4535343,-0.24415663,0.9640872,1.1894705,-1.2276078,0.59740007,0.70117277,-0.2975635,1.3757068,-0.15005559,0.12557645,-0.17307183,0.015579048,-1.0962751,-1.4400508,1.5945051,-0.8469613,-0.9913924,-2.1533902,-0.63896173,-1.3230898,1.6420152,1.0098171,-0.68815035,2.252436,0.9817655,-0.3248314,-2.4994056,2.2909427,-1.3895725,-1.6453987,1.0225705,2.4397523,1.3842728,0.5639091,0.59475434,0.85341555,0.7589286,0.28119144,0.1042011,-0.062593125,-0.7539646,-0.28067508,-1.6929568,-0.098339625,-0.98859113,-1.1035893,0.17989415,1.3920023,0.9183166,-1.5705006,-0.98962814,0.94077116,-0.9824874,-0.22463316,0.5500521,-0.96834445,0.105375506,-1.3340255,-0.60136765,0.31978193,-1.5929937,Benign,192.168.5.181,10.0.1.4
0.44047475,-0.019637799,0.55248994,0.22391413,1.3641404,0.1252245,-0.42940554,0.1222975,0.543298,0.04886007,0.04059169,-0.7019917,-0.6629009,-1.4026053,1.7495767,-1.2438632,-0.6929052,-0.7184073,0.8949244,-0.29494968,1.247742,-0.67349064,0.27899417,-0.83534706,2.1451492,-1.1875985,0.3098207,0.6337769,0.4137991,-0.18528765,-0.1298207,0.04381147,-0.147002,0.9638791,2.210523,-0.5574918,-1.369803,-0.08828205,2.5797093,-0.8036746,1.6391168,1.6777008,-0.5535883,0.5689831,1.6283966,-0.37912774,-0.20358036,-0.5816809,-1.0147567,-0.64927757,-1.2239403,0.034083467,-0.7699732,0.23378591,-1.5558957,0.33088022,0.83352894,-1.9937357,0.37405658,1.227669,-1.209641,1.6725724,0.419019,-0.70501184,-0.05576908,0.5583269,0.07600539,0.538756,-0.9206736,0.16936083,-1.4137145,-0.11122606,-0.90390766,-0.73552996,1.2360932,1.0913101,0.60913813,-1.0923128,-0.31640846,1.2130977,0.14171691,2.3193295,0.39331785,Benign,192.168.9.76,10.0.1.63
0.19204912,-0.30911645,0.1335409,-0.15246984,0.70810866,0.9567023,-0.78598946,-1.3312329,-1.8362054,0.5079913,-1.1033666,-2.1528907,0.3885786,2.4929996,-0.0060709114,0.8384908,0.08182936,-0.09888966,0.9190765,-0.29027453,0.2673923,0.3216978,-0.66809046,0.99204236,-0.17495976,-0.7557452,0.5365099,-0.89846796,0.028181158,-0.009118997,1.0858955,0.47469825,-0.025026958,0.8177663,1.3902075,0.5578103,0.01035262,-1.3118362,-1.0651137,-0.30522472,-0.6095122,-0.1869713,0.056649923,0.52969277,-0.07049878,0.48650163,0.06447441,-1.9754666,-0.9393354,-0.14408755,-1.2096947,0.59992874,1.5307509,1.2187618,-0.21344288,1.4907261,0.14866745,-0.33708596,-0.61340266,-0.3024697,-0.38817683,0.17041622,0.16057397,0.0030460202,0.43693817,1.1906463,0.94955415,-1.484898,-2.5539212,0.9343199,-1.3668787,-0.2247654,-1.170113,-1.8019805,0.5414627,0.75915515,-0.5765104,-2.5910423,-0.54624444,0.391804,-1.4789115,0.18335992,-0.015309849,Benign,192.168.5.128,10.0.3.153
2.4236553,1.2642137,-0.1478891,2.599661,0.6582262,0.96051884,0.9843867,1.3633527,0.27093884,0.80816704,3.079979,0.27255136,-0.8221917,3.3315117,0.5719858,0.7460835,2.3646681,0.38779616,3.1681101,2.4980354,0.5077702,3.9851832,-0.011708874,2.0427363,1.2386972,3.197276,2.1322346,0.5600846,0.960921,2.0694168,0.05492856,3.9264803,1.9472953,0.499084,1.7113132,-0.20432745,0.3694996,2.8869503,0.7892805,-0.40575564,1.9458929,1.9638623,1.8876178,2.0852714,-0.13130237,-0.773153,3.1829152,1.0414033,1.7097228,3.255308,1.3421798,2.239168,3.154119,0.11466558,2.105454,0.9847907,1.5313948,3.0002136,1.462716,1.8545152,2.5110729,1.0592484,1.0475402,0.42807886,-0.96747655,2.698011,0.126983,1.1428074,1.0576025,1.6326306,1.878758,2.7970755,0.8363595,0.6662964,0.79217875,1.1065713,3.2268786,1.155207,1.9342989,2.6210282,2.4149249,1.961336,-0.5858825,BruteForce-FTP,192.168.3.50,10.0.4.182
1.5777025,0.37874296,0.013766081,1.8680608,2.3363898,1.4387708,1.6285634,2.8824186,0.89239055,3.765714,2.5221303,-0.8493839,1.8307875,2.1433651,2.5698178,1.1762435,1.1707532,0.58372414,1.326534,0.7852443,-0.023123285,1.3573457,3.0476568,1.1242998,0.43492198,1.2849673,2.17366,-0.047299515,1.0053622,0.89827126,-0.23513792,1.3491131,0.9676642,1.4329516,0.903836,0.51673913,1.8452151,0.74003834,3.1253664,1.4545171,1.7366163,2.6901736,-0.6376845,-0.0016299273,0.024575416,2.2049482,1.2912204,4.055738,0.6374002,1.7412062,2.0522144,2.9912102,3.7265549,2.9968867,2.7243412,2.1893353,2.0247355,0.23321064,-0.15199673,1.8826171,0.6460099,0.4146878,2.2790315,2.5891056,1.2006888,2.090104,0.08499576,1.5254257,1.1061311,-0.3912118,1.4441835,0.41393033,2.333148,2.251337,0.27156878,3.2345476,2.936615,2.0863135,0.9033637,1.0015873,0.49043554,2.0986423,3.385994,DDoS-TCP_Flood,192.168.5.114,10.0.0.219
2.3912952,0.58190894,0.41737953,1.1480068,-1.1825981,1.6631538,1.5075841,1.148241,-0.16306831,2.1614761,0.2662887,0.43101782,-2.297369,1.5825647,2.3483117,3.31848,1.3703,1.141349,1.4915929,0.9643133,1.579411,1.8349363,2.6004038,0.8572457,0.5637871,-0.13296995,-0.07269231,0.6159613,2.1970496,2.020652,-0.3030321,2.4485097,1.7230312,1.5829285,0.5085484,-1.7332039,2.0674086,2.1963427,1.5968227,1.3049664,1.838087,-0.21098734,1.3971313,1.8025836,0.536534,1.4405785,0.25468194,1.6910982,1.2957797,-0.6214116,2.2867107,0.5534248,0.5961919,1.2560278,2.8999088,0.5627736,1.2389774,2.0312026,1.2031194,1.5667716,0.92110306,0.44418812,1.4914472,0.6315222,-2.352244,1.1598096,1.4183373,-1.5062708,0.95675033,1.6793306,3.4226904,2.0059485,0.7129101,0.57373655,3.082451,0.68194777,1.1938457,1.149857,1.0388936,1.9588434,2.3978913,1.9451833,0.9947966,DDoS-UDP_Flood,192.168.9.240,10.0.1.155
